x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 y
1.356 0.08 -3.256 -2.599 0.492 4.45 -1.007 5.278 -1.922 -0.192 1
3.123 6.566 9.88 10.88 6.277 5.157 -1.798 4.235 14.196 5.761 1
2.477 6.592 3.572 6.186 4.795 4.348 -0.044 6.514 8.509 5.56 1
3.601 5.742 0.562 2.769 6.751 2.506 -7.194 2.083 5.608 5.986 1
4.928 1.698 -0.932 0.85 6.764 3.627 1.218 6.698 5.526 1.293 1
4.425 5.335 1.87 2.61 5.036 6.147 -3.921 3.022 6.854 5.175 1
1.896 2.229 -2.97 -0.517 3.175 3.451 -0.047 -0.966 1.667 2.295 0
1.676 1.542 -3.798 -0.619 5.288 -0.556 -0.341 6.922 0.964 1.946 0
4.991 1.513 -4.574 -1.114 1.289 2.166 -1.797 6.843 4.413 2.01 1
3.053 3.454 -2.201 -1.257 0.251 5.701 2.409 3.764 2.262 2.419 0
5.898 2.87 1.159 1.964 3.58 0.517 -2.918 3.271 7.921 2.335 1
5.076 4.013 3.625 6.708 4.367 1.752 -0.52 3.624 11.629 3.657 1
6.715 3.174 1.273 1.413 -0.417 5.961 -5.599 2.57 7.84 2.838 1
5.675 4.995 4.978 9.847 6.947 5.637 1.596 2.266 16.098 5.193 1
5.696 -0.953 5.04 7.067 3.317 2.117 0.891 6.248 13.143 -0.82 1
1.14 0.661 -3.798 -2.219 4.666 0.228 2.964 4.728 -0.682 0.374 1
0.407 4.795 1.045 7.475 -0.864 2.909 -1.896 0.278 7.939 4.732 1
0.568 5.799 3.253 3.907 -0.199 3.139 -6.645 2.632 3.64 5.737 1
-0.843 0.185 -3.452 -3.152 5.672 -0.511 -4.253 0.206 -4.083 -0.383 1
3.222 5.008 -1.997 -1.179 0.507 -0.903 1.717 1.067 2.773 4.682 1
0.453 1.942 7.387 9.468 5.659 0.746 0.311 -0.215 9.456 2.754 1
0.182 4.393 -2.057 -0.799 0.285 1.277 0.738 5.779 -0.393 4.236 1
3.728 0.137 -1.683 -0.749 -0.382 2.506 -1.82 0.405 3.087 -0.207 1
-0.976 -0.913 1.984 7.029 0.156 5.192 1.816 -0.395 6.826 -0.641 1
1.888 -0.028 1.558 6.491 0.704 0.744 -0.64 0.614 8.159 -0.045 1
0.034 5.875 -0.737 0.963 5.969 6.047 -3.934 2.69 1.506 5.63 1
-0.883 6.59 6.529 8.371 3.871 5.247 4.639 6.532 6.577 7.369 1
0.555 -0.93 0.663 0.932 6.885 3.525 -1.826 6.864 1.582 -1.287 1
4.189 -0.461 0.545 0.684 4.808 -0.319 1.611 0.841 5.889 -0.907 1
6.525 5.373 0.291 0.854 0.504 2.145 3.656 5.002 6.678 4.755 1
1.771 -0.669 -3.13 -1.707 2.921 -0.476 -3.405 0.392 0.031 -1.764 1
5.76 4.986 -1.436 2.586 -0.922 -0.344 1.926 4.901 8.496 5.102 1
0.035 6.765 -1.39 4.837 2.554 6.236 0.072 6.992 4.446 7.134 1
5.814 1.957 2.985 4.459 0.811 2.689 2.709 6.954 9.877 1.521 1
0.747 3.229 -4.151 -0.804 6.13 -0.882 6.678 5.391 -0.09 3.315 1
0.058 1.754 5.154 8.535 1.282 -0.203 -7.567 0.86 8.639 1.173 1
3.972 5.21 1.538 1.747 3.481 1.786 5.281 0.984 5.837 4.574 1
0.136 0.264 -0.003 0.581 5.434 4.708 3.941 3.889 0.878 0.388 1
-0.99 3.007 -9.041 -6.297 3.346 1.072 -1.589 -0.604 -7.349 3.089 1
5.667 4.407 4.174 5.07 4.189 0.698 0.121 6.56 10.802 4.619 1
6.564 -0.215 -0.473 1.779 -0.944 -0.811 -0.524 5.005 8.456 -0.524 1
3.543 3.956 1.118 2.608 -0.62 2.799 0.595 6.017 6.402 4.014 0
2.214 -0.375 6.612 7.45 3.552 2.166 -0.555 4.393 9.075 0.155 1
0.48 3.123 -2.04 -0.343 4.824 2.593 4.211 1.671 0.831 3.63 1
3.38 2.642 5.38 9.246 4.123 0.47 2.084 4.054 11.998 1.913 0
3.503 3.761 5.301 8.856 -0.499 4.009 -2.998 6.416 12.228 4.306 0
0.288 5.188 1.938 3.482 4.096 3.629 2.276 3.611 3.514 6.434 1
1.463 6.331 1.789 4.168 0.245 2.573 -4.028 2.622 4.86 6.661 1
1.876 0.548 -3.925 -3.894 4.334 5.838 4.272 3.162 -1.703 1.209 1
0.336 0.337 0.447 0.844 2.064 3.529 -5.172 1.957 0.447 -0.026 1
0.547 5.682 2.785 4.848 0.312 1.837 2.441 0.382 5.516 5.293 1
2.638 3.022 -4.82 -4.12 -0.906 6.837 0.731 5.21 -1.593 3.413 0
-0.684 6.26 1.947 3.027 2.349 5.804 -0.454 0.175 1.662 5.896 1
5.89 1.929 -1.776 0.625 3.872 0.478 -0.817 5.83 6.995 1.998 1
5.145 -0.845 -0.383 2.629 -0.436 -0.898 -3.022 3.299 8.178 -1.311 1
-0.097 2.699 2.424 3.165 5.653 6.169 2.93 6.949 2.735 3.017 1
2.167 6.993 -1.307 1.439 -0.62 5.282 -0.656 5.172 4.423 7.298 1
-0.692 1.388 -4.944 -4.208 6.27 6.143 1.301 0.328 -5.467 1.727 1
4.276 0.642 3.941 4.373 2.982 1.11 -2.726 4.432 7.697 0.779 1
1.492 1.264 0.288 1.741 5.427 2.169 1.961 4.955 2.405 0.835 1
0.517 0.304 -2.848 -0.352 5.301 4.222 1.52 4.226 0.379 0.855 1
4.009 0.877 4.208 5.187 0.771 4.344 -0.64 -0.359 9.137 0.929 1
3.134 3.646 1.669 2.497 2.663 4.128 0.294 1.255 5.45 3.331 0
6.424 4.476 -3.463 -1.784 3.135 6.891 -4.345 3.028 4.757 3.67 1
-0.533 3.689 1.525 1.806 0.365 6.37 0.296 1.868 1.823 3.015 1
6.503 5.062 0.496 1.381 3.354 -0.241 -1.553 5.604 8.75 4.937 1
3.955 1.08 -0.468 0.157 -0.416 5.157 -0.912 2.054 4.406 0.124 1
1.937 5.601 -1.25 0.689 0.229 0.191 -3.542 5.804 3.036 4.963 0
-0.535 -0.153 -1.475 -0.734 6.633 6.874 4 6.891 -0.544 -0.839 1
0.125 -0.287 -6.988 -6.503 0.155 0.796 2.513 5.754 -6.768 -0.59 1
2.211 4.216 -1.361 2.292 -0.113 5.543 1.669 1.399 4.284 4.035 0
-0.456 6.209 -0.057 2.281 3.479 5.82 -0.969 0.274 1.73 6.02 1
1.573 4.414 0.529 4.039 1.928 2.385 0.708 0.311 6.31 4.053 0
2.202 2.784 -3.55 -2.048 5.19 4.235 0.837 2.226 0.581 3.486 0
0.564 -0.904 1.483 2.446 2.829 4.946 -0.188 2.74 2.789 -0.943 1
2.612 5.451 6.368 8.949 1.498 2.436 0.791 6.309 11.527 5.98 1
6.718 -0.874 -0.095 0.656 3.315 3.467 -1.255 0.096 8.079 0.164 1
1.065 1.117 0.523 1.628 4.089 1.951 -1.591 1.973 2.551 0.621 1
0.679 1.89 0.024 1.371 6.125 5.476 3.524 6.74 2.068 2.082 0
3.983 1.238 2.075 4.13 0.683 4.157 2.955 -0.638 6.847 1.186 1
6.761 2.122 -1.435 -0.749 5.954 0.885 0.09 1.61 5.343 3.171 1
3.391 3.483 -2.802 -1.324 3.046 1.144 0.562 6.958 2.861 3.142 0
2.736 3.125 4.186 4.79 5.668 1.182 -1.667 5.548 8.059 2.991 0
0.611 6.854 -0.038 3.482 -0.007 -0.131 2.661 1.644 4.391 5.884 1
-0.796 3.34 -2.889 -2.441 0.67 4.904 -3.377 5.799 -2.409 3.22 1
4.807 4.357 -0.322 -0.246 4.894 4.067 1.325 3.484 4.421 3.337 1
1.26 -0.151 1.779 2.513 1.657 6.43 -1.175 5.566 4.319 0.007 1
2.223 2.09 -1.402 -0.581 1.412 -0.216 -6.386 -0.935 1.7 1.563 0
3.769 4.253 5.51 6.692 2.901 6.061 3.479 3.251 11.11 4.519 0
2.414 0.329 -2.203 -1.953 0.268 3.198 0.446 1.159 0.812 -0.138 1
3.897 5.879 5.279 6.288 1.833 5.85 2.077 2.225 10.074 6.302 1
3.074 1.265 -0.779 3.64 6.531 3.755 -0.239 2.809 7.359 1.215 0
2.422 4.12 1.584 3.587 -0.571 2.854 3.829 5.578 6.022 4.626 0
1.512 4.976 -6.451 -3.614 1.732 5.614 1.297 2.716 -1.516 4.558 1
6.119 0.093 1.335 4.377 -0.343 3.271 2.112 -0.137 10.586 0.903 1
0.842 0.158 -0.849 -0.619 0.45 5.061 0.973 6.691 0.636 -0.546 1
-0.517 0.451 0.621 1.35 4.264 5.782 4.811 -0.369 -0.542 0.607 1
6.229 6.8 0.769 2.702 0.652 2.547 -4.761 3.174 8.255 7.06 1
4.294 6.75 1.405 4.259 4.579 5.053 -0.931 -0.241 7.437 6.511 1
4.71 4.643 -3.84 -2.591 6.405 5.771 -1.707 5.345 1.87 5.162 1
5.437 3.959 1.228 2.052 0.385 3.578 -1.483 6.901 7.308 2.641 1
-0.716 3.325 5.285 5.384 6.199 0.872 -1.621 5.11 4.838 3.535 1
2.771 2.815 3.927 6.714 -0.978 3.487 0.673 2.194 10.257 2.784 0
4.355 4.487 -2.106 -0.866 -0.052 4.425 1.966 -0.442 4.203 4.762 1
5.128 2.315 -2.379 -0.344 2.188 -0.366 -0.932 -0.616 4.816 2.03 1
-0.402 4.007 -6.284 -6.135 3.989 5.683 -2.276 2.943 -6.089 3.926 1
3.146 4.341 -5.361 -4.175 3.425 -0.061 -1.857 5.018 -1.27 4.913 0
5.637 3.346 3.524 3.737 3.695 6.412 -1.234 2.39 8.96 3.039 1
4.094 1.348 -5.31 -5.215 5.209 4.596 0.75 6.757 -1.355 1.737 1
0.879 4.916 -1.941 -0.55 5.697 3.011 -1.207 2.125 0.604 5.494 1
5.061 6.726 1.512 5.408 4.352 2.102 2.454 4.238 11.534 7.074 1
3.156 -0.004 6.069 6.545 6.286 2.257 6.884 0.492 9.942 -0.403 1
0.936 2.124 0.24 0.61 3.979 -0.257 1.98 -0.653 1.343 1.921 1
-0.528 0.337 3.254 4.37 0.899 4.789 2.144 5.747 3.826 0.264 1
4.919 2.671 -1.498 -0.573 5.527 0.205 -3.213 5.022 4.492 2.493 0
-0.915 2.471 4.796 6.356 6.741 6.893 4.099 5.113 5.77 2.538 1
0.673 2.223 2.374 2.739 4.149 -0.841 -4.828 6.742 3.358 2.119 1
6.012 1.688 2.298 4.889 -0.643 1.828 -3.199 6.836 11.759 1.485 1
1.167 0.939 -1.036 1.598 6.312 5.814 -2.682 2.217 3.149 0.995 1
0.924 1.878 -0.061 3.9 1.781 -0.738 -1.951 -0.153 5.034 2.548 0
5.071 2.117 -2.63 -2.139 4.959 4.374 -5.289 6.661 2.797 1.736 1
-0.538 6.293 -6.261 -3.19 1.909 5.772 1.347 6.148 -4.141 6.716 1
2.607 2.42 1.799 4.107 3.546 5.32 0.543 2.894 6.637 2.622 0
4.583 3.794 1.328 1.908 -0.502 -0.84 0.3 0.73 6.543 3.392 0
6.147 3.437 2.15 2.54 5.216 5.097 0.051 4.182 9.285 3.336 1
0.148 0.867 1.65 3.419 2.081 3.23 3.087 -0.379 3.056 0.349 1
-0.158 1.206 6.487 12.051 2.81 2.923 1.476 3.672 12.165 1.495 1
3.15 6.886 6.226 7.576 -0.663 2.466 0.499 3.3 10.708 7.382 1
0.085 3.967 3.348 5.606 6.397 2.892 2.149 1.993 6.288 3.084 1
5.414 5.843 1.717 2.935 5.975 5.002 2.323 3.51 7.99 6.447 1
5.415 2.194 4.166 5.666 4.904 1.473 -1.716 5.21 10.243 1.996 1
4.339 0.411 1.829 2.634 1.668 -0.966 -2.011 4.775 7.413 0.721 1
6.673 4.222 6.355 6.745 3.202 1.811 -1.833 4.412 13.703 4.693 1
4.596 6.192 0.197 0.422 0.476 0.58 -2.734 4.125 4.947 7.088 1
-0.508 3.219 -0.931 0.493 2.798 2.659 -2.012 6.997 0.383 2.48 1
2.198 2.795 3.528 7.774 6.362 4.908 -2.257 6.343 9.907 1.934 0
1.302 6.651 2.6 6.318 -0.465 3.798 5.108 3.743 7.944 6.284 1
1.477 -0.181 -1.459 -1.423 4.843 3.694 0.288 6.445 -0.551 -0.356 1
3.849 6.603 2.102 3.329 1.249 2.993 1.405 4.534 5.92 5.568 1
6.169 1.823 0.793 4.789 4.425 -0.995 3.746 6.139 11.332 2.209 1
4.405 4.504 5.328 5.963 6.11 6.006 -3.102 6.313 10.166 3.472 1
4.712 -0.803 2.436 2.567 0.949 2.479 -0.854 3.556 7.483 -0.798 1
5.058 4.705 1.091 2.53 0.218 3.093 3.899 6.17 7.596 4.705 1
1.921 1.659 -4.86 -4.754 6.666 0.792 0.137 2.551 -2.798 0.962 0
1.532 -0.607 0.015 3.39 6.627 3.609 6.008 4.672 5.458 -0.615 1
5.126 2.202 -2.682 -0.719 5.429 4.036 2.773 2.28 4.264 2.625 1
1.853 0.647 -2.003 -1.518 6.291 5.851 0.927 3.066 -0.187 0.989 1
5.45 2.338 -5.729 -4.274 3.505 2.124 -2.746 6.764 1.537 2.521 0
3.642 0.673 -0.133 0.379 0.495 1.963 -2.849 2.551 3.317 0.831 1
4.152 2.514 -2.998 -1.988 0.949 6.188 0.544 1.12 1.46 2.536 0
4.105 5.963 -2.277 0.466 3.628 6.339 0.341 4.719 4.205 5.709 1
6.547 1.795 -0.849 -0.373 5.14 1.307 8.118 3.477 6.711 1.961 1
6.17 0.963 -2.649 0.771 5.222 2.191 -1.04 5.7 7.379 1.352 1
3.193 4.329 0.811 1.712 6.019 1.035 -0.659 4.465 4.512 3.633 0
6.715 6.669 0.731 1.244 3.584 5.814 -0.308 1.109 7.934 7.063 1
3.41 5.548 -1.322 -0.825 -0.078 4.339 -5.234 -0.663 2.991 5.742 1
1.748 2.141 0.521 2.093 6.886 -0.535 3.57 -0.821 2.71 3.578 0
0.58 0.17 -0.693 1.537 3.733 0.05 -0.419 6.147 1.75 -0.612 1
0.052 1.291 4.339 4.862 4.407 1.156 -2.925 0.039 4.146 1.298 1
5.912 0.462 7.232 8.258 0.116 2.965 7.232 3.622 14.069 0.062 1
0.851 4.106 5.147 6.383 0.791 4.796 0.579 5.621 8.001 4.479 1
-0.089 0.189 4.914 6.992 4.434 6.848 -0.364 2.842 6.325 0.527 1
2.324 1.076 -1.067 0.043 4.182 3.32 1.202 1.742 2.516 1.16 1
4.757 -0.876 -8.607 -6.551 3.137 6.679 1.267 4.304 -2.422 -0.024 1
-0.609 4.615 -1.043 -0.256 5.324 3.469 -5.529 5.767 -0.393 4.732 1
5.449 6.999 0.505 3.309 5.113 -0.224 -2.934 5.487 8.629 6.849 1
0.886 6.121 1.348 2.197 6.824 3.366 -3.161 3.348 2.932 5.751 1
5.698 3.756 7.022 9.094 -0.265 1.392 -2.5 -0.452 14.972 4.216 1
1.019 6.829 -0.037 0.942 1.713 3.219 -1.817 5.495 1.466 6.453 1
-0.185 3.096 1.082 1.255 2.395 5.474 -0.057 4.503 1.297 4.457 1
6.115 -0.509 3.932 4.107 0.222 5.736 0.365 5.506 10.151 -0.707 1
2.997 0.721 -3.745 -0.632 3.956 5.357 -0.361 -0.746 3.059 0.325 1
3.867 6.949 6.415 7.775 4.341 -0.951 1.836 3.037 10.697 6.926 1
0.346 0.406 -1.395 0.789 0.812 3.533 0.39 0.053 0.583 0.776 1
1.404 -0.228 0.459 2.257 -0.629 1.826 -3.384 6.802 4.028 0.491 1
6.168 1.379 4.028 5.638 3.484 5.128 -2.299 0.338 12.278 1.093 1
3.487 2.688 -4.817 -2.941 0.743 0.618 -1.282 4.817 0.168 2.693 0
0.545 6.447 -0.708 2.96 3.874 6.069 -0.853 6.907 3.261 6.608 1
6.503 6.559 1.34 1.449 5.35 3.068 -1.319 5.553 7.95 5.9 1
3.787 0.805 -0.584 -0.568 3.993 4.96 3.675 4.341 2.32 0.867 1
2.923 4.64 -6.082 -3.27 4.821 -0.135 -1.087 -0.642 0.42 3.849 0
2.725 -0.038 -2.045 -0.458 1.192 1.109 -0.437 2.137 1.942 0.099 1
6.095 3.754 1.47 5.671 3.781 3.442 1.489 0.05 12.122 4.193 1
1.488 5.863 -0.473 0.936 3.357 6.918 2.716 5.998 2.703 5.412 1
3.697 2.502 2.365 2.976 6.558 1.759 1.05 6.883 6.906 2.671 0
2.152 -0.954 -0.72 3.256 0.912 1.064 2.989 1.631 5.383 -0.803 1
-0.841 1.881 0.891 3.553 5.341 -0.843 5.395 6.825 2.843 0.711 1
1.759 -0.338 -2.925 -2.031 2.337 5.898 1.487 0.429 -0.262 0.059 1
3.516 0.375 1.667 5.631 4.669 2.543 -3.18 2.509 8.894 0.343 0
0.38 5.423 6.51 8.26 3.693 3.483 -3.411 -0.065 9.154 5.368 1
5.004 2.445 -4.439 -3.2 5.119 3.46 3.126 1.366 2.273 2.683 1
5.756 4.557 0.45 0.845 3.315 -0.779 2.979 0.77 7.385 4.977 1
1.298 2.716 -1.107 -0.544 6.682 0.746 1.311 0.156 0.872 2.768 0
1.731 2.672 -3.673 -3.259 6.041 1.425 1.728 -0.037 -1.52 2.323 0
2.513 -0.638 0.509 1.866 6.03 5.369 0.184 4.211 3.666 -1.483 1
2.425 2.094 4.664 4.911 6.461 5.887 -0.161 1.503 7.328 2.25 0
3.284 2.386 2.193 2.957 2.661 6.317 1.061 5.17 5.644 2.818 0
6.054 4.504 2.787 3.13 4.77 -0.883 0.572 6.566 9.47 5.068 1
1.102 3.348 1.283 1.833 1.165 0.125 -0.741 1.231 2.709 4.254 1
-0.569 -0.204 -1.007 -0.292 -0.354 1.994 4.176 5.217 -0.167 -0.181 1
1.7 1.703 -0.888 0.097 6.451 1.018 0.295 0.617 2.779 1.929 1
-0.908 2.137 -2.059 -1.739 3.687 3.605 0.834 -0.659 -2.477 3.048 1
2.809 5.802 -1.514 3.056 5.743 2.938 -2.692 6.6 5.875 5.936 1
-0.835 6.262 5.058 5.241 -0.925 0.566 7.022 2.946 4.401 6.772 1
3.478 4.526 -3.049 -0.541 -0.238 3.963 -4.051 5.801 3.499 5.662 0
1.068 3.443 0.735 1.459 6.16 4.757 -5.666 4.323 3.356 3.648 0
6.463 5.705 1.361 1.639 -0.337 3.484 -1.574 5.405 8.011 5.311 1
5.108 0.273 -0.148 2.334 2.752 1.484 -8.199 -0.77 7.164 -0.283 1
6.806 4.969 -3.828 -2.823 1.519 2.157 -2.467 -0.93 4.657 4.664 1
2.671 1.032 0.357 1.761 -0.361 2.165 2.403 0.161 4.592 1.328 1
0.944 1.778 -1.226 -1.022 3.354 5.765 -2.003 2.327 -0.04 2.125 1
4.025 2.083 -3.102 -1.862 2.798 0.043 -3.892 -0.372 2.231 3.045 0
1.216 0.994 1.079 1.574 2.67 1.019 3.348 3.866 2.03 0.92 1
0.313 3.993 0.073 1.837 6.548 5.722 1.093 4.46 1.97 4.226 1
5.897 0.201 0.694 2.003 -0.341 2.126 -1.416 3.286 6.73 0.877 1
4.069 2.862 1.966 3.743 5.542 2.35 -0.446 2.163 7.129 2.708 0
3.533 5.9 -1.293 -0.071 0.091 3.077 0.271 -0.544 3.862 5.774 1
3.14 6.871 -3.177 -2.699 4.189 1.532 -1.236 2.117 0.267 7.102 1
4.694 3.085 -0.308 2.654 2.15 3.99 1.876 5.617 7.68 3.99 0
0.228 1.704 1.904 2.745 1.779 1.088 -1.181 1.702 3.301 1.36 1
5.395 5.773 4.677 8.021 4.482 5.183 -0.256 5.361 13.47 5.981 1
5.29 2.646 -1.437 -0.475 2.051 0.268 -2.638 -0.906 4.392 1.952 0
6.047 4.951 -1.667 1.717 6.22 6.862 1.86 4.172 7.458 3.841 1
4.536 3.153 -2.799 -0.719 2.332 5.394 0.623 2.45 3.805 3.287 0
3.161 3.976 5.018 6.803 1.537 -0.318 3.828 6.16 9.74 4.182 0
-0.52 0.336 3.829 6.659 5.324 4.579 -5.491 0.657 5.661 -0.423 1
0.32 0.245 4.878 6.926 -0.555 -0.049 -0.534 4.993 7.07 0.094 1
5.492 2.114 1.234 1.843 0.909 -0.158 -3.046 6.263 7.394 2.077 1
1.735 0.426 3.062 3.56 3.213 3.445 -2.642 -0.831 5.726 0.308 1
2.342 1.479 1.488 2.255 1.996 1.129 2.081 5.633 4.821 1.955 0
3.281 1.31 -2.636 -1.458 0.004 3.419 3.542 0.2 2.517 0.752 0
6.732 0.636 0.734 1.639 4.927 3.971 -5.034 5.868 9.012 0.114 1
5.82 2.325 -2.056 -0.594 0.757 -0.879 0.776 0.351 4.98 1.87 1
3.563 0.24 2.902 3.123 3.813 5.698 -2.168 1.08 7.283 0.608 1
2.166 2.447 -0.448 1.102 -0.207 5.08 3.746 0.636 2.281 2.292 0
0.681 5.491 1.191 2.791 2.568 4.288 5.51 6.038 2.947 5.823 1
4.523 6.875 1.863 3.192 4.307 2.853 0.81 6.773 8.072 6.649 1
6.794 4.729 -0.6 -0.309 0.573 -0.909 -0.454 0.381 6.85 5.356 1
6.451 5.695 -1.988 -1.048 0.685 1.5 4.351 2.359 5.639 6.016 1
3.386 0.492 0.817 1.158 1.782 3.184 -2.65 5.353 4.927 -0.434 1
1.648 1.717 1.633 4.136 6.262 1.769 5.824 3.151 6.478 1.613 0
1.891 2.107 2.817 6.88 2.756 5.364 -2.404 6.414 9.293 1.886 0
1.398 0.626 -1.855 -0.995 3.331 4.366 -0.299 5.586 -0.575 0.059 1
5.83 3.023 -2.123 -1.391 6.928 6.337 -0.77 4.727 4.127 2.533 1
-0.426 3.222 0.505 0.597 6.237 5.682 -3.544 2.312 0.847 3.716 1
6.021 3.719 0.512 2.739 2.035 -0.043 -0.244 -0.732 8.758 3.705 1
6.721 6.086 -7.785 -4.031 -0.174 6.364 0.234 4.078 2.364 7.246 1
0.698 5.875 -0.109 2.22 3.524 6.188 -0.436 0.918 2.775 6.762 1
3.091 4.809 -0.491 2.001 4.421 -0.495 2.137 0.354 5.398 5.137 0
5.248 6.057 3.04 4.415 0.737 0.992 -3.073 2.164 8.871 5.21 1
5.566 4.131 -3.522 0.114 1.679 1.331 -3.203 -0.725 5.305 3.646 1
-0.816 5.875 -0.711 1.1 1.552 3.972 1.336 0.407 -0.323 6.109 1
3.403 0.527 0.759 1.185 0.066 6.497 -1.579 0.971 4.908 0.524 1
1.904 4.901 3.386 5.079 4.925 3.586 3.565 5.582 7.579 4.708 0
2.55 -0.593 -1.153 0.339 6.878 1.02 0.177 2.583 3.016 -0.536 1
4.187 1.287 -3.313 -1.812 4.553 6.122 0.413 4.129 2.267 0.931 0
1.462 0.428 3.479 4.223 2.376 2.218 3.976 5.464 6.435 0.156 1
3.815 6.082 5.201 8.571 2.878 5.052 -1.218 3.222 12.485 6.077 1
-0.473 0.563 1.562 5.162 1.037 2.422 2.409 -0.321 4.733 1.056 1
5.661 2.117 -0.74 0.647 4.647 3.582 2.867 4.316 6.112 1.649 1
1.45 0.429 -3.613 -2.561 5.247 1.691 3.09 4.79 -1.218 0.601 1
1.493 3.455 1.598 1.803 2.384 -0.775 3.499 0.134 2.668 4.027 0
0.353 4.878 1.777 3.124 1.065 5.375 -3.073 6.895 2.99 5.575 1
3.26 -0.022 -3.443 -1.716 1.629 3.663 2.777 5.295 2.537 0.749 1
3.729 2.235 3.424 7.669 6.908 2.67 1.473 1.877 10.931 2.367 0
2.486 1.855 -5.029 -0.643 5.941 3.248 -7.204 1.529 2.143 1.881 0
6.31 3.854 3.713 4.356 2.617 3.41 -3.472 -0.102 10.775 4.483 1
6.188 1.608 2.319 2.959 4.868 3.201 1.429 2.595 8.903 1.83 1
-0.354 6.132 1.528 2.803 5.09 1.539 -0.544 3.977 2.455 6.29 1
0.885 -0.876 -4.75 -4.74 5.964 2.401 0.097 -0.577 -3.483 -1.21 1
5.632 1.671 -3.648 -2.536 6.198 3.958 3.422 5.248 2.791 1.74 1
6.507 2.922 8.297 11.052 5.679 4.224 -2.881 1.46 18.818 3.855 1
4.297 1.919 -3.022 -0.181 6.17 6.851 -2.703 6.4 4.304 1.761 1
